goos: windows
goarch: amd64
pkg: github.com/shaia/go-simd-bloomfilter
cpu: 13th Gen Intel(R) Core(TM) i9-13980HX
BenchmarkSIMDvsScalar/PopCount_Size_64/SIMD-32    	340214839	         8.975 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/PopCount_Size_64/Fallback-32         	20296119	        59.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorOr_Size_64/SIMD-32             	60824784	        17.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorOr_Size_64/Fallback-32         	73209567	        27.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorAnd_Size_64/SIMD-32            	58166092	        21.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorAnd_Size_64/Fallback-32        	51789727	        25.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorClear_Size_64/SIMD-32          	69104918	        16.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorClear_Size_64/Fallback-32      	77494849	        25.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/PopCount_Size_256/SIMD-32            	25605079	        59.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/PopCount_Size_256/Fallback-32        	 6742072	       187.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorOr_Size_256/SIMD-32            	32554555	        37.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorOr_Size_256/Fallback-32        	15450417	        72.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorAnd_Size_256/SIMD-32           	63326876	        33.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDvsScalar/VectorAnd_Size_256/Fallback-32       	15967681	        69.52 ns/op	       0 B/op	       0 allocs/op
